naca code,wu1,wu2,wu3,wl1,wl2,wl3,m,p,t,cl,cd,cdp,cm,top_xtr,bot_xtr
NACA 01019,0.2,0.0,0.0,-0.4,-0.4,-0.4,0,10,19,-0.7194,0.009,0.0029,0.1397,0.2842,0.5229
NACA 01019,0.2,0.0,0.0,-0.4,-0.4,-0.2,0,10,19,-0.5713,0.009,0.0026,0.0914,0.2691,0.438
NACA 01018,0.2,0.0,0.0,-0.4,-0.4,0.0,0,10,18,-0.3843,0.009,0.0026,0.0368,0.2496,0.391
NACA 0918,0.2,0.0,0.0,-0.4,-0.4,0.2,0,9,18,-0.1917,0.0092,0.0029,-0.017,0.2274,0.3628
NACA 01017,0.2,0.0,0.0,-0.4,-0.2,-0.4,0,10,17,-0.5624,0.0098,0.0029,0.1097,0.281,0.3282
NACA 01016,0.2,0.0,0.0,-0.4,-0.2,-0.2,0,10,16,-0.4246,0.0092,0.0024,0.0637,0.2661,0.3053
NACA 01016,0.2,0.0,0.0,-0.4,-0.2,0.0,0,10,16,-0.2372,0.009,0.0023,0.0092,0.2454,0.2921
NACA 1916,0.2,0.0,0.0,-0.4,-0.2,0.2,1,9,16,-0.0441,0.0091,0.0026,-0.0442,0.2239,0.2826
NACA 01015,0.2,0.0,0.0,-0.4,0.0,-0.4,0,10,15,-0.4328,0.0102,0.0028,0.0847,0.278,0.1982
NACA 01014,0.2,0.0,0.0,-0.4,0.0,-0.2,0,10,14,-0.2915,0.0095,0.0024,0.0385,0.2626,0.1993
NACA 01014,0.2,0.0,0.0,-0.4,0.0,0.0,0,10,14,-0.1053,0.0092,0.0023,-0.0153,0.242,0.2037
NACA 1814,0.2,0.0,0.0,-0.4,0.0,0.2,1,8,14,0.0848,0.0094,0.0026,-0.0677,0.2198,0.2062
NACA 01013,0.2,0.0,0.0,-0.4,0.2,-0.4,0,10,13,-0.3164,0.0103,0.003,0.0619,0.2759,0.1456
NACA 0513,0.2,0.0,0.0,-0.4,0.2,-0.2,0,5,13,-0.1718,0.0097,0.0026,0.0156,0.2602,0.1485
NACA 1613,0.2,0.0,0.0,-0.4,0.2,0.0,1,6,13,0.0122,0.0094,0.0026,-0.0372,0.239,0.153
NACA 2613,0.2,0.0,0.0,-0.4,0.2,0.2,2,6,13,0.1984,0.0097,0.003,-0.0884,0.2178,0.157
NACA 01015,0.2,0.0,0.0,-0.2,-0.4,-0.2,0,10,15,-0.4693,0.0075,0.0017,0.1103,0.2976,0.6111
NACA 01014,0.2,0.0,0.0,-0.2,-0.4,0.0,0,10,14,-0.2655,0.0077,0.0016,0.0507,0.2728,0.5315
NACA 0914,0.2,0.0,0.0,-0.2,-0.4,0.2,0,9,14,-0.0608,0.008,0.0019,-0.0069,0.2493,0.4753
NACA 01012,0.2,0.0,0.0,-0.2,-0.2,-0.4,0,10,12,-0.5408,0.0063,0.0017,0.1466,0.3211,0.8561
NACA 01012,0.2,0.0,0.0,-0.2,-0.2,-0.2,0,10,12,-0.3343,0.0067,0.0013,0.0839,0.2949,0.6693
NACA 01011,0.2,0.0,0.0,-0.2,-0.2,0.0,0,10,11,-0.1252,0.0074,0.0013,0.0236,0.2694,0.4896
NACA 1911,0.2,0.0,0.0,-0.2,-0.2,0.2,1,9,11,0.0777,0.0079,0.0016,-0.0331,0.2456,0.4191
NACA 01010,0.2,0.0,0.0,-0.2,0.0,-0.4,0,10,10,-0.3238,0.0092,0.0021,0.1014,0.304,0.2497
NACA 01010,0.2,0.0,0.0,-0.2,0.0,-0.2,0,10,10,-0.1913,0.0084,0.0014,0.0563,0.2894,0.2567
NACA 0010,0.2,0.0,0.0,-0.2,0.0,0.0,0,0,10,0.0,0.008,0.0013,-0.0,0.2663,0.2664
NACA 1709,0.2,0.0,0.0,-0.2,0.0,0.2,1,7,9,0.197,0.0082,0.0016,-0.0553,0.2432,0.2696
NACA 1308,0.2,0.0,0.0,-0.2,0.2,-0.4,1,3,8,-0.2004,0.0094,0.0022,0.0762,0.2996,0.13
NACA 1308,0.2,0.0,0.0,-0.2,0.2,-0.2,1,3,8,-0.0741,0.0087,0.0016,0.0331,0.2862,0.1378
NACA 2408,0.2,0.0,0.0,-0.2,0.2,0.0,2,4,8,0.1116,0.0084,0.0015,-0.0215,0.2631,0.1507
NACA 01020,0.2,0.0,0.2,-0.4,-0.4,-0.4,0,10,20,-0.5099,0.0092,0.0029,0.0816,0.2783,0.5304
NACA 01019,0.2,0.0,0.2,-0.4,-0.4,-0.2,0,10,19,-0.3831,0.0093,0.0027,0.0382,0.2613,0.4438
NACA 0919,0.2,0.0,0.2,-0.4,-0.4,0.0,0,9,19,-0.1969,0.0093,0.0027,-0.0163,0.2356,0.3979
NACA 1918,0.2,0.0,0.2,-0.4,-0.4,0.2,1,9,18,-0.0031,0.0096,0.003,-0.07,0.2104,0.3674
NACA 01017,0.2,0.0,0.2,-0.4,-0.2,-0.4,0,10,17,-0.3524,0.0099,0.0028,0.051,0.2723,0.3474
NACA 01017,0.2,0.0,0.2,-0.4,-0.2,-0.2,0,10,17,-0.235,0.0095,0.0025,0.0098,0.2564,0.3159
NACA 1916,0.2,0.0,0.2,-0.4,-0.2,0.0,1,9,16,-0.0474,0.0094,0.0024,-0.0447,0.2306,0.3008
NACA 2816,0.2,0.0,0.2,-0.4,-0.2,0.2,2,8,16,0.1484,0.0096,0.0028,-0.0986,0.204,0.2897
NACA 01015,0.2,0.0,0.2,-0.4,0.0,-0.4,0,10,15,-0.2254,0.0103,0.0028,0.0262,0.269,0.205
NACA 01015,0.2,0.0,0.2,-0.4,0.0,-0.2,0,10,15,-0.1004,0.0097,0.0024,-0.0161,0.2515,0.2078
NACA 2714,0.2,0.0,0.2,-0.4,0.0,0.2,2,7,14,0.2799,0.0097,0.0028,-0.1229,0.2012,0.2126
NACA 0513,0.2,0.0,0.2,-0.4,0.2,-0.4,0,5,13,-0.1114,0.0104,0.0029,0.0037,0.2668,0.1503
NACA 1613,0.2,0.0,0.2,-0.4,0.2,-0.2,1,6,13,0.0209,0.0099,0.0026,-0.0397,0.2487,0.1538
NACA 2613,0.2,0.0,0.2,-0.4,0.2,0.0,2,6,13,0.2063,0.0098,0.0026,-0.0928,0.2224,0.1579
NACA 3713,0.2,0.0,0.2,-0.4,0.2,0.2,3,7,13,0.3948,0.01,0.003,-0.1441,0.198,0.1618
NACA 01016,0.2,0.0,0.2,-0.2,-0.4,-0.4,0,10,16,-0.4642,0.0077,0.0021,0.1127,0.3364,0.7087
NACA 01015,0.2,0.0,0.2,-0.2,-0.4,-0.2,0,10,15,-0.2854,0.0079,0.0018,0.0565,0.3016,0.6135
NACA 0915,0.2,0.0,0.2,-0.2,-0.4,0.0,0,9,15,-0.0792,0.0081,0.0018,-0.0037,0.2664,0.5342
NACA 1914,0.2,0.0,0.2,-0.2,-0.4,0.2,1,9,14,0.1293,0.0084,0.002,-0.0622,0.2349,0.4791
NACA 01013,0.2,0.0,0.2,-0.2,-0.2,-0.4,0,10,13,-0.3587,0.0067,0.0019,0.093,0.3411,0.8544
NACA 01012,0.2,0.0,0.2,-0.2,-0.2,-0.2,0,10,12,-0.1515,0.007,0.0015,0.03,0.2989,0.6844
NACA 1912,0.2,0.0,0.2,-0.2,-0.2,0.0,1,9,12,0.063,0.0078,0.0015,-0.0316,0.2616,0.5026
NACA 2811,0.2,0.0,0.2,-0.2,-0.2,0.2,2,8,11,0.2707,0.0083,0.0018,-0.0894,0.2305,0.4288
NACA 0010,0.2,0.0,0.2,-0.2,0.0,-0.2,0,0,10,-0.0,0.0085,0.0016,0.0,0.2884,0.2884
NACA 1710,0.2,0.0,0.2,-0.2,0.0,0.0,1,7,10,0.1914,0.0084,0.0014,-0.0564,0.2566,0.2895
NACA 2710,0.2,0.0,0.2,-0.2,0.0,0.2,2,7,10,0.3924,0.0086,0.0017,-0.1125,0.2266,0.2874
NACA 1308,0.2,0.0,0.2,-0.2,0.2,-0.4,1,3,8,0.025,0.0095,0.0021,0.0113,0.2952,0.144
NACA 2408,0.2,0.0,0.2,-0.2,0.2,-0.2,2,4,8,0.1206,0.0089,0.0016,-0.0243,0.2822,0.1485
NACA 3508,0.2,0.0,0.2,-0.2,0.2,0.0,3,5,8,0.3052,0.0087,0.0016,-0.0787,0.2523,0.1626
NACA 4608,0.2,0.0,0.2,-0.2,0.2,0.2,4,6,8,0.4994,0.0088,0.0018,-0.1326,0.2238,0.1751
NACA 01021,0.2,0.0,0.4,-0.4,-0.4,-0.4,0,10,21,-0.4698,0.0098,0.0035,0.0593,0.3128,0.5328
NACA 0920,0.2,0.0,0.4,-0.4,-0.4,-0.2,0,9,20,-0.317,0.0097,0.0031,0.0098,0.2744,0.4465
NACA 1919,0.2,0.0,0.4,-0.4,-0.4,0.0,1,9,19,-0.097,0.01,0.0032,-0.0525,0.23,0.3995
NACA 2819,0.2,0.0,0.4,-0.4,-0.4,0.2,2,8,19,0.1262,0.0104,0.0036,-0.113,0.1956,0.3705
NACA 01017,0.2,0.0,0.4,-0.4,-0.2,-0.4,0,10,17,-0.2873,0.0106,0.0034,0.0227,0.2907,0.3502
NACA 1917,0.2,0.0,0.4,-0.4,-0.2,-0.2,1,9,17,-0.1534,0.01,0.0028,-0.0223,0.2616,0.3187
NACA 2817,0.2,0.0,0.4,-0.4,-0.2,0.0,2,8,17,0.07,0.01,0.0029,-0.0851,0.2207,0.3056
NACA 3816,0.2,0.0,0.4,-0.4,-0.2,0.2,3,8,16,0.2888,0.0105,0.0034,-0.1443,0.1879,0.2947
NACA 01015,0.2,0.0,0.4,-0.4,0.0,-0.4,0,10,15,-0.1457,0.0109,0.0033,-0.0055,0.2818,0.2084
NACA 1815,0.2,0.0,0.4,-0.4,0.0,-0.2,1,8,15,-0.0038,0.0102,0.0028,-0.0519,0.2529,0.2105
NACA 2715,0.2,0.0,0.4,-0.4,0.0,0.0,2,7,15,0.2148,0.0104,0.003,-0.1131,0.2127,0.2134
NACA 4714,0.2,0.0,0.4,-0.4,0.0,0.2,4,7,14,0.4284,0.0107,0.0035,-0.1708,0.1832,0.2174
NACA 1613,0.2,0.0,0.4,-0.4,0.2,-0.4,1,6,13,-0.0193,0.0111,0.0034,-0.0311,0.2743,0.1517
NACA 2613,0.2,0.0,0.4,-0.4,0.2,-0.2,2,6,13,0.1315,0.0105,0.003,-0.0788,0.2434,0.156
NACA 3713,0.2,0.0,0.4,-0.4,0.2,0.0,3,7,13,0.343,0.0106,0.0032,-0.138,0.208,0.1608
NACA 5713,0.2,0.0,0.4,-0.4,0.2,0.2,5,7,13,0.5494,0.011,0.0038,-0.1936,0.1792,0.1656
NACA 01018,0.2,0.0,0.4,-0.2,-0.4,-0.4,0,10,18,-0.3632,0.0071,0.0023,0.0772,0.6483,0.7092
NACA 0916,0.2,0.0,0.4,-0.2,-0.4,-0.2,0,9,16,-0.2092,0.0082,0.0022,0.0256,0.3463,0.6153
NACA 1915,0.2,0.0,0.4,-0.2,-0.4,0.0,1,9,15,0.0301,0.0088,0.0023,-0.0428,0.2678,0.5368
NACA 2815,0.2,0.0,0.4,-0.2,-0.4,0.2,2,8,15,0.2649,0.0094,0.0027,-0.1075,0.2224,0.481
NACA 01014,0.2,0.0,0.4,-0.2,-0.2,-0.4,0,10,14,-0.2393,0.006,0.0021,0.0532,0.6821,0.8559
NACA 1913,0.2,0.0,0.4,-0.2,-0.2,-0.2,1,9,13,-0.062,0.0076,0.0019,-0.0043,0.3319,0.6918
NACA 2812,0.2,0.0,0.4,-0.2,-0.2,0.0,2,8,12,0.1866,0.0086,0.0021,-0.0743,0.2582,0.5101
NACA 3812,0.2,0.0,0.4,-0.2,-0.2,0.2,3,8,12,0.4153,0.0093,0.0025,-0.1373,0.2152,0.4348
NACA 2710,0.2,0.0,0.4,-0.2,0.0,0.0,2,7,10,0.3244,0.0092,0.0021,-0.1016,0.2497,0.3041
NACA 4710,0.2,0.0,0.4,-0.2,0.0,0.2,4,7,10,0.5442,0.0096,0.0025,-0.1624,0.211,0.2995
NACA 2409,0.2,0.0,0.4,-0.2,0.2,-0.4,2,4,9,0.1593,0.0103,0.0028,-0.0343,0.3062,0.1513
NACA 3508,0.2,0.0,0.4,-0.2,0.2,-0.2,3,5,8,0.2409,0.0096,0.0022,-0.0665,0.2902,0.154
NACA 4608,0.2,0.0,0.4,-0.2,0.2,0.0,4,6,8,0.446,0.0096,0.0022,-0.126,0.2424,0.1705
NACA 5608,0.2,0.0,0.4,-0.2,0.2,0.2,5,6,8,0.6563,0.0099,0.0026,-0.1843,0.2071,0.1841
NACA 01022,0.2,0.2,0.0,-0.4,-0.4,-0.2,0,10,22,-0.4397,0.0084,0.0027,0.0666,0.4941,0.4396
NACA 01021,0.2,0.2,0.0,-0.4,-0.4,0.0,0,10,21,-0.2568,0.0083,0.0026,0.0132,0.4816,0.3939
NACA 1921,0.2,0.2,0.0,-0.4,-0.4,0.2,1,9,21,-0.0656,0.0085,0.0028,-0.04,0.4668,0.3623
NACA 01019,0.2,0.2,0.0,-0.4,-0.2,-0.4,0,10,19,-0.4227,0.0092,0.0029,0.0828,0.4994,0.3324
NACA 01019,0.2,0.2,0.0,-0.4,-0.2,-0.2,0,10,19,-0.294,0.0087,0.0024,0.0391,0.4913,0.3075
NACA 01018,0.2,0.2,0.0,-0.4,-0.2,0.0,0,10,18,-0.1103,0.0083,0.0023,-0.0142,0.4787,0.2937
NACA 1818,0.2,0.2,0.0,-0.4,-0.2,0.2,1,8,18,0.0805,0.0084,0.0025,-0.0667,0.4636,0.283
NACA 01017,0.2,0.2,0.0,-0.4,0.0,-0.4,0,10,17,-0.2955,0.0096,0.0028,0.0583,0.4975,0.1991
NACA 0516,0.2,0.2,0.0,-0.4,0.0,-0.2,0,5,16,-0.1618,0.0089,0.0024,0.0141,0.4888,0.2018
NACA 1616,0.2,0.2,0.0,-0.4,0.0,0.0,1,6,16,0.0213,0.0085,0.0023,-0.0386,0.4757,0.2051
NACA 2616,0.2,0.2,0.0,-0.4,0.0,0.2,2,6,16,0.2085,0.0085,0.0026,-0.0899,0.46,0.2062
NACA 1415,0.2,0.2,0.0,-0.4,0.2,-0.4,1,4,15,-0.1812,0.0097,0.0029,0.0359,0.4955,0.1467
NACA 2514,0.2,0.2,0.0,-0.4,0.2,-0.2,2,5,14,-0.0426,0.009,0.0026,-0.0087,0.4865,0.1495
NACA 3514,0.2,0.2,0.0,-0.4,0.2,0.0,3,5,14,0.1385,0.0086,0.0025,-0.0604,0.4731,0.154
NACA 4614,0.2,0.2,0.0,-0.4,0.2,0.2,4,6,14,0.3194,0.0086,0.0029,-0.1088,0.4563,0.1567
NACA 01019,0.2,0.2,0.0,-0.2,-0.4,-0.4,0,10,19,-0.5201,0.0071,0.0021,0.1414,0.518,0.7084
NACA 01018,0.2,0.2,0.0,-0.2,-0.4,-0.2,0,10,18,-0.3408,0.0071,0.0018,0.0855,0.5076,0.6116
NACA 01017,0.2,0.2,0.0,-0.2,-0.4,0.0,0,10,17,-0.1398,0.0072,0.0017,0.0269,0.4944,0.5317
NACA 1917,0.2,0.2,0.0,-0.2,-0.4,0.2,1,9,17,0.063,0.0074,0.0019,-0.0298,0.4802,0.4759
NACA 01015,0.2,0.2,0.0,-0.2,-0.2,-0.4,0,10,15,-0.4094,0.006,0.0018,0.1207,0.5184,0.8536
NACA 01015,0.2,0.2,0.0,-0.2,-0.2,-0.2,0,10,15,-0.207,0.0063,0.0014,0.0593,0.506,0.6717
NACA 0014,0.2,0.2,0.0,-0.2,-0.2,0.0,0,0,14,0.0,0.0068,0.0014,-0.0,0.4923,0.4922
NACA 1714,0.2,0.2,0.0,-0.2,-0.2,0.2,1,7,14,0.2014,0.0072,0.0016,-0.056,0.4766,0.4203
NACA 1312,0.2,0.2,0.0,-0.2,0.0,-0.4,1,3,12,-0.1857,0.0086,0.0021,0.0741,0.5101,0.2583
NACA 1312,0.2,0.2,0.0,-0.2,0.0,-0.2,1,3,12,-0.0629,0.0078,0.0015,0.0316,0.5026,0.2616
NACA 2411,0.2,0.2,0.0,-0.2,0.0,0.0,2,4,11,0.1252,0.0074,0.0013,-0.0236,0.4894,0.2696
NACA 3511,0.2,0.2,0.0,-0.2,0.0,0.2,3,5,11,0.3203,0.0074,0.0015,-0.078,0.4745,0.271
NACA 3310,0.2,0.2,0.0,-0.2,0.2,-0.4,3,3,10,-0.0627,0.0089,0.0022,0.0489,0.5076,0.1309
NACA 3410,0.2,0.2,0.0,-0.2,0.2,-0.2,3,4,10,0.0543,0.0081,0.0016,0.0084,0.5002,0.1388
NACA 4410,0.2,0.2,0.0,-0.2,0.2,0.0,4,4,10,0.2366,0.0077,0.0014,-0.0451,0.4872,0.1512
NACA 4509,0.2,0.2,0.0,-0.2,0.2,0.2,4,5,9,0.4259,0.0078,0.0017,-0.0979,0.4723,0.1632
NACA 01023,0.2,0.2,0.2,-0.4,-0.4,-0.4,0,10,23,-0.3306,0.0078,0.0028,0.046,0.6756,0.5348
NACA 01022,0.2,0.2,0.2,-0.4,-0.4,-0.2,0,10,22,-0.2242,0.0079,0.0026,0.0075,0.6665,0.4474
NACA 1922,0.2,0.2,0.2,-0.4,-0.4,0.0,1,9,22,-0.048,0.0078,0.0026,-0.0443,0.6513,0.3999
NACA 2821,0.2,0.2,0.2,-0.4,-0.4,0.2,2,8,21,0.1384,0.0079,0.0028,-0.0961,0.6291,0.3685
NACA 01020,0.2,0.2,0.2,-0.4,-0.2,-0.4,0,10,20,-0.1772,0.0084,0.0027,0.0162,0.6732,0.3554
NACA 01019,0.2,0.2,0.2,-0.4,-0.2,-0.2,0,10,19,-0.079,0.008,0.0023,-0.0203,0.6649,0.3206
NACA 1819,0.2,0.2,0.2,-0.4,-0.2,0.0,1,8,19,0.0992,0.0077,0.0022,-0.0723,0.6473,0.3034
NACA 2718,0.2,0.2,0.2,-0.4,-0.2,0.2,2,7,18,0.2885,0.0077,0.0024,-0.1243,0.6232,0.2914
NACA 0517,0.2,0.2,0.2,-0.4,0.0,-0.4,0,5,17,-0.0582,0.0087,0.0026,-0.0068,0.6724,0.2102
NACA 1617,0.2,0.2,0.2,-0.4,0.0,-0.2,1,6,17,0.0532,0.0082,0.0022,-0.0457,0.6628,0.2093
NACA 2616,0.2,0.2,0.2,-0.4,0.0,0.0,2,6,16,0.2314,0.0078,0.0022,-0.0973,0.6434,0.2127
NACA 3716,0.2,0.2,0.2,-0.4,0.0,0.2,3,7,16,0.4188,0.0078,0.0024,-0.1485,0.6171,0.2143
NACA 2515,0.2,0.2,0.2,-0.4,0.2,-0.4,2,5,15,0.0517,0.0088,0.0027,-0.0285,0.6719,0.1527
NACA 3515,0.2,0.2,0.2,-0.4,0.2,-0.2,3,5,15,0.1719,0.0083,0.0024,-0.0687,0.6601,0.1546
NACA 4614,0.2,0.2,0.2,-0.4,0.2,0.0,4,6,14,0.3494,0.008,0.0024,-0.1196,0.64,0.1593
NACA 5614,0.2,0.2,0.2,-0.4,0.2,0.2,5,6,14,0.5324,0.008,0.0026,-0.1694,0.6121,0.1632
NACA 01020,0.2,0.2,0.2,-0.2,-0.4,-0.4,0,10,20,-0.2955,0.0066,0.0021,0.0781,0.6962,0.7071
NACA 01019,0.2,0.2,0.2,-0.2,-0.4,-0.2,0,10,19,-0.1304,0.0066,0.0018,0.0258,0.687,0.614
NACA 1918,0.2,0.2,0.2,-0.2,-0.4,0.0,1,9,18,0.0669,0.0066,0.0017,-0.0319,0.6729,0.5356
NACA 2817,0.2,0.2,0.2,-0.2,-0.4,0.2,2,8,17,0.269,0.0068,0.0018,-0.0885,0.6537,0.4797
NACA 0015,0.2,0.2,0.2,-0.2,-0.2,-0.2,0,0,15,0.0,0.0058,0.0014,-0.0,0.6872,0.6872
NACA 1715,0.2,0.2,0.2,-0.2,-0.2,0.0,1,7,15,0.207,0.0063,0.0014,-0.0593,0.6714,0.506
NACA 2714,0.2,0.2,0.2,-0.2,-0.2,0.2,2,7,14,0.409,0.0065,0.0015,-0.1155,0.6502,0.4314
NACA 1313,0.2,0.2,0.2,-0.2,0.0,-0.4,1,3,13,0.0627,0.0076,0.0019,0.0041,0.6917,0.3323
NACA 2412,0.2,0.2,0.2,-0.2,0.0,-0.2,2,4,12,0.1514,0.007,0.0015,-0.03,0.6845,0.2988
NACA 3512,0.2,0.2,0.2,-0.2,0.0,0.0,3,5,12,0.3343,0.0067,0.0013,-0.0839,0.6691,0.2949
NACA 4611,0.2,0.2,0.2,-0.2,0.0,0.2,4,6,11,0.5297,0.0067,0.0014,-0.1383,0.6467,0.2898
NACA 3410,0.2,0.2,0.2,-0.2,0.2,-0.4,3,4,10,0.1897,0.008,0.0019,-0.0222,0.6898,0.1459
NACA 4410,0.2,0.2,0.2,-0.2,0.2,-0.2,4,4,10,0.2707,0.0074,0.0015,-0.0539,0.683,0.1528
NACA 4510,0.2,0.2,0.2,-0.2,0.2,0.0,4,5,10,0.4471,0.007,0.0014,-0.1059,0.6671,0.1636
NACA 5510,0.2,0.2,0.2,-0.2,0.2,0.2,5,5,10,0.6355,0.007,0.0015,-0.1585,0.6436,0.176
NACA 01024,0.2,0.2,0.4,-0.4,-0.4,-0.4,0,10,24,-0.0862,0.0077,0.0033,-0.023,0.8462,0.5431
NACA 1923,0.2,0.2,0.4,-0.4,-0.4,-0.2,1,9,23,-0.0193,0.0076,0.003,-0.0523,0.8422,0.454
NACA 2822,0.2,0.2,0.4,-0.4,-0.4,0.0,2,8,22,0.1549,0.0074,0.0029,-0.1036,0.842,0.4058
NACA 3822,0.2,0.2,0.4,-0.4,-0.4,0.2,3,8,22,0.344,0.0073,0.003,-0.1559,0.8418,0.3728
NACA 01021,0.2,0.2,0.4,-0.4,-0.2,-0.4,0,10,21,0.0689,0.008,0.0031,-0.0538,0.8482,0.3818
NACA 1820,0.2,0.2,0.4,-0.4,-0.2,-0.2,1,8,20,0.1259,0.0077,0.0027,-0.0805,0.8442,0.332
NACA 2719,0.2,0.2,0.4,-0.4,-0.2,0.0,2,7,19,0.3055,0.0072,0.0025,-0.1327,0.8445,0.3128
NACA 4719,0.2,0.2,0.4,-0.4,-0.2,0.2,4,7,19,0.4987,0.007,0.0027,-0.1856,0.844,0.2991
NACA 1617,0.2,0.2,0.4,-0.4,0.0,-0.4,1,6,17,0.1841,0.0083,0.0029,-0.0763,0.8491,0.2203
NACA 2617,0.2,0.2,0.4,-0.4,0.0,-0.2,2,6,17,0.2618,0.0077,0.0025,-0.1071,0.8463,0.2184
NACA 3717,0.2,0.2,0.4,-0.4,0.0,0.0,3,7,17,0.4405,0.0073,0.0024,-0.1587,0.8466,0.2201
NACA 5716,0.2,0.2,0.4,-0.4,0.0,0.2,5,7,16,0.6322,0.007,0.0026,-0.2109,0.8459,0.2218
NACA 3515,0.2,0.2,0.4,-0.4,0.2,-0.4,3,5,15,0.2803,0.0084,0.003,-0.0952,0.8497,0.1586
NACA 4615,0.2,0.2,0.4,-0.4,0.2,-0.2,4,6,15,0.38,0.0078,0.0026,-0.1303,0.8478,0.1607
NACA 5615,0.2,0.2,0.4,-0.4,0.2,0.0,5,6,15,0.5596,0.0073,0.0026,-0.1816,0.8485,0.1646
NACA 6614,0.2,0.2,0.4,-0.4,0.2,0.2,6,6,14,0.7483,0.0071,0.0027,-0.2327,0.8478,0.169
NACA 01021,0.2,0.2,0.4,-0.2,-0.4,-0.4,0,10,21,-0.0889,0.0068,0.0027,0.0159,0.8513,0.7061
NACA 1920,0.2,0.2,0.4,-0.2,-0.4,-0.2,1,9,20,0.0699,0.0066,0.0023,-0.0347,0.8494,0.6163
NACA 2819,0.2,0.2,0.4,-0.2,-0.4,0.0,2,8,19,0.2665,0.0064,0.0022,-0.0922,0.8508,0.5394
NACA 3818,0.2,0.2,0.4,-0.2,-0.4,0.2,3,8,18,0.4748,0.0064,0.0022,-0.1503,0.8529,0.4839
NACA 0018,0.2,0.2,0.4,-0.2,-0.2,-0.4,0,0,18,0.0,0.0061,0.0027,-0.0,0.8522,0.8522
NACA 2715,0.2,0.2,0.4,-0.2,-0.2,0.0,2,7,15,0.4097,0.006,0.0018,-0.1208,0.8536,0.5183
NACA 4715,0.2,0.2,0.4,-0.2,-0.2,0.2,4,7,15,0.6183,0.006,0.0019,-0.1785,0.8558,0.4411
NACA 2414,0.2,0.2,0.4,-0.2,0.0,-0.4,2,4,14,0.2395,0.006,0.0021,-0.0533,0.8559,0.6819
NACA 3513,0.2,0.2,0.4,-0.2,0.0,-0.2,3,5,13,0.3588,0.0067,0.0019,-0.093,0.8544,0.3411
NACA 4612,0.2,0.2,0.4,-0.2,0.0,0.0,4,6,12,0.541,0.0063,0.0017,-0.1467,0.8562,0.3211
NACA 5612,0.2,0.2,0.4,-0.2,0.0,0.2,5,6,12,0.7422,0.0061,0.0018,-0.2026,0.8586,0.3095
NACA 4411,0.2,0.2,0.4,-0.2,0.2,-0.4,4,4,11,0.4371,0.0076,0.0024,-0.0955,0.861,0.1648
NACA 4510,0.2,0.2,0.4,-0.2,0.2,-0.2,4,5,10,0.4812,0.0071,0.0019,-0.118,0.8564,0.1648
NACA 5510,0.2,0.2,0.4,-0.2,0.2,0.0,5,5,10,0.6565,0.0065,0.0017,-0.1697,0.8586,0.178
NACA 6610,0.2,0.2,0.4,-0.2,0.2,0.2,6,6,10,0.8507,0.0062,0.0018,-0.2237,0.8613,0.1899
